identity,question,a,b,c,d,correct _answer
hsc-chemistry-12-167,ཨེན་ཇིམ་ག་ཅི་གིས་ ཨེཊ་ན་ལཱོན་ལུ་ ཨེན་ཝེཊ་ཤཱག་ལས་ བཟོ་དོ་ཡོདཔ་ཨིན་ན?,HBrO_{4}>HClO_{4}>HNO_{3}>H_{3}PO_{4} འདི་ཡང་ ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་དེ་ཨིན།,HClO_{4}>HBrO_{4}>HNO_{3}>H_{3}PO_{4} འདི་ཡང་ ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་དེ་ཨིན།,HClO_{4}>HBrO_{4}>H_{3}PO_{4}>HNO_{3} འདི་ཡང་ ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་གི་ཕྲ་རིང་དེ་ཨིན།,HNO_{3}>H_{3}PO_{4}>HClO_{4}>HBrO_{4} འདི་ཡང་ HNO_{3}>H_{3}PO_{4}འདི་ཡང་ HClO_{4}འདི་ཡང་,b
hsc-chemistry-12-168,འ་ནི་གློག་ཤུགས་འདི་ ཨེཀཊོརོནཊི་འདི་ཕུད་བཏང་ཞིནམ་ལས་ ནུས་པ་ཅན་གྱི་ཨ་ཡོན་ལུ་འགྱུར་ནི་གི་དོན་ལས་ཨིན།,"Na^{+}, Ca^{2+}, Sc^{3+}, F^{-} འདི་ཡང་ ཌའི་ལོག་གི་མིང་ཨིན།","K^{+}, Cl^{-},Mg^{2+},Sc^{3+} འདི་ཡང་ ཌའི་ལོག་གི་ཨང་གྲངས་ཨིན།","Na^{+}, Mg^{2+}, Al^{3+}, Cl^{-} འདི་ཡང་ ཌའི་ལོག་གི་ ཌའི་ལོག་གི་ ཌའི་ལོག་གི་ ཌའི་ལོག་ཨིན།","K^{+},Ca^{2+},Sc^{3+},Cl^{-}",d
hsc-chemistry-12-169,འ་ནི་ལས་ཀ་འདི་གིས་ ཕྲ་རིང་ཚུ་འཕྱལ་ཚུགསཔ་ཨིན།,i དང་ ii,i དང་ iii,ii དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",b
hsc-chemistry-12-170,i. པྲ་པོ་པིན་,NH_{3}<HF<H_{2}O<CH_{4} འདི་ཡང་ སྦ་སྒོར་འདི་ནང་ལུ་ཨིན།,CH_{4}<NH_{3}<HF<H_{2}O འདི་ཡང་ ཌའི་ལོག་གི་ ཌའི་ལོག་གི་ ཌའི་ལོག་ཨིན།,CH_{4}<NH_{3}<H_{2}O<HF ཚུར་ཐིག་ཚུ་,NH_{3}<CH_{4}<H_{2}O<HF ཚགས་མ་འདི་ནང་ལུ་,b
hsc-chemistry-12-171,༢། གིརིཕ་ཊི་,ནི^{+},K^{+} འདི་ཡང་,Mg^{2+} འདི་ཡང་,ཀ་^{2+},b
hsc-chemistry-12-172,གསུམ་པ་ བེན་ཇིན་,"n=4, l=2, m = +2, s = -\frac{1}{2} འདི་ཡང་ ཕྲང་ཕྲང་གི་ཕྲང་ཕྲང་གི་ཕྲང་ཕྲང་ཨིན།","n=3, l=2, m = -1, s = +\frac{1}{2} འདི་ཡང་ ཕྲང་ཕྲང་གི་ཕྲང་ཕྲང་གི་ཕྲང་ཕྲང་ཨིན།","n=3, l = 1, m = +1, s = -\frac{1}{2} ཚུ་དང་འདྲཝ་ཨིན།","n=4, l = 0, m = 0, s = +\frac{1}{2} འདི་ཡང་ ཕྲང་ཐིག་གི་མཐའ་མ་ལུ་ཡོདཔ་ཨིན།",d
hsc-chemistry-12-173,འོག་ལུ་ཡོད་མི་ལས་ ག་འདི་བདེན་པ་ཨིན་ན་ཟེར་བ་ཅིན་,NaOHདང་ NaCl,CH_{3}COOH + CH_{3}COONa འདི་ཡང་ ཀོ་ཧོནཌི་ནའུནཌི་ནའུནཌི་ནའུནཌི་ནའུནཌི་ནའུནཌི་ནའུནཌི་ནའུནཌི་ནའུནཌི་,NH_{4}OH NH_{4}Cl དེ་ ཚ་དྲོད་མར་ཕབ་འབད་ནིའི་དོན་ལས་ཨིན།,H_{2}CO_{3} + NaHCO_{3} ཚུ་དང་བསྡོམ་པ་ཅིན་,c
hsc-chemistry-12-174,H_{2}+N_{2}\rightleftharpoons P འདི་ཡང་ ཌའི་ལོག་ནང་ལུ་ཨིན་,i དང་ ii,i དང་ iii,ii དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",a
hsc-chemistry-12-175,P' གི་ཐད་ལུ་,Be,བི་,Mg,ཨཱལ་,a
hsc-chemistry-12-176,i. སྦྲེལ་རྟགས་ sp^{3}འདི་ སྦྲེལ་རྟགས་ལྟེ་བ་ལུ་ཡོདཔ་ཨིན།,KCl,NaCl,MgCl_{2},CaCl_{2} འདི་ཡང་,a
hsc-chemistry-12-177,༢། K_{c}གི་ཆ་ཕྲན་འདི་ L^{2}mol^{-2}ཨིན།,sp^{3} འདི་ལུ་,sp^{3}d འདི་ཡང་,sp^{3}d^{2}ལུ་ བསྒྱུར་བཅོས་འབདཝ་ཨིན།,sp^{2}d འདི་ཡང་,a
hsc-chemistry-12-178,གསུམ་པ་ དབྱིབས་འདི་ ཟུར་བཞི་སྦེ་བཟོ་ནུག,0.8250 atm ཨིན་པས།,0.7250 atm ཨིན་པས།,0.0825 atm ཨིན་པས།,0.0725 atm ཨིན་,d
hsc-chemistry-12-179,འོག་ལུ་ཡོད་མི་ལས་ ག་འདི་བདེན་པ་ཨིན་ན་ཟེར་བ་ཅིན་,མལ་ཏེཇ་,དབྱིབས་བསྒྱུར་,ཇའི་མཱེཇ་,མཆིན་པའི་ནད་,c
hsc-chemistry-12-180,0.01M NaOHའདི་ pHག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན?,གློག་ཤུགས་ཀྱི་རང་འདོད་འདི་,གློག་ཤུགས་ཁེ་རྒུད་མེད་པའི་གློག་ཤུགས་,ཨའོན་ནུས་ཤུགས་,ལྕགས་ཀྱི་ཤུགས་,d
hsc-chemistry-12-181,འོག་གི་ཚོང་ཁང་འདི་ ཨ་ལཱན་ཅི་གི་ཁུ་བ་གི་ཁུ་བ་ཨིནམ་འོང་ནི་མས་,i དང་ ii,i དང་ iii,ii དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",c
hsc-chemistry-12-182,ནད་བཀག་སྨན་འདི་ག་ཅི་ཨིན་ན?,i དང་ ii,i དང་ iii,ii དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",a
hsc-chemistry-12-183,Orbital གི་བསམ་འཆར་འདི་ ག་ལས་འོངམ་ཨིན་ན?,12,13,14,15,a
hsc-chemistry-12-184,ཝིན་གཱར་གྱི་མིང་གཞན་ག་ཅི་ཡོདཔ་ཨིན་ན?,CH_{3}COOH+CH_{3}COONa ཚུར་ཐིག་གི་ཕྲ་རིང་ལུ་,NaOHདང་ NaCl,Na_{2}SO_{4}+H_{2}SO_{4}ལུ་ བསྒྱུར་བཅོས་འབདཝ་ཨིན།,NH_{4}Cl+NH_{4}OH འདི་ཡང་,d
hsc-chemistry-12-185,H^{+} ནང་ལུ་ ག་འདི་མང་དྲགས་སྦེ་ཡོདཔ་ཨིན་ན?,C_{6}H_{5}COONa འདི་ལུ་བལྟ་བ་ཅིན་,NaNO_{2} འདི་ཡང་,EDTA,BHT,d
hsc-chemistry-12-186,འབྱེམ་གནས་གོང་འདི་ ག་ལུ་ཕོག་ནི་ཨིན་ན?,བོ་ར་དཔེ་ཚད་,རཱད་རར་ཕོརཌ་གི་དཔེ་གཞི་,ཚད་ལྡན་རྣམ་གཞག་,ཨོཕ་བཱུ་གི་སྲིད་བྱུས་,c
hsc-chemistry-12-187,མཐུན་ལམ་སྦོམ་ཤོས་དེ་ ག་ལུ་ཡོདཔ་ཨིན་ན?,ཨི་ཐན་ཨེས་ཨསིཌ་,མེ་ཊ་ནི་ཨེསི་ཌི་,BHA,Propanic acid འདི་ཡང་ ནད་འབུབ་ཅིག་ཨིན་མས།,a
hsc-chemistry-12-189,i. Fe^{2+}འདི་ ཉུང་སུ་ཅིག་རང་ཨིན།,མང་ཤོས་ཅིག་རང་ མགྱོགས་དྲགས་སྦེ་ མེདཔ་ཐལ་འགྱོ་མི་ ཨའི་ཨོ་ནི་ཀཱོན་འདི་ཨིན་མས།,མང་ཤོས་ཅིག་རང་ མཉམ་སྦྲེལ་འབད་བཏུབ་པའི་ མཉམ་སྦྲེལ་འབད་བཏུབ་མི་རྫས་འདི་ཨིན།,མགྱོགས་པ་རང་ རུལ་འགྱོ་མི་ ཨའི་ཨོ་ནིའུནསི་གི་སྦྱོར་བ་,མཉམ་འབྲེལ་འབད་བཏུབ་པའི་ མཉམ་འབྲེལ་འབད་བཏུབ་པའི་ མཉམ་འབྲེལ་འབད་བཏུབ་པའི་ མཉམ་འབྲེལ་འབད་བཏུབ་པའི་ མཉམ་འབྲེལ་འབད་བཏུབ་པའི་,c
hsc-chemistry-12-190,༢། Fe^{3+}འདི་ ལེགས་ཤོམ་སྦེ་རང་ཡོདཔ་ཨིན།,CH_{4} དེ་ནང་ལུ་,BCl_{3} འདི་ལུ་,NH_{3} འདི་ཡང་,H_{2}O འདི་ལུ་,b
hsc-chemistry-12-191,གསུམ་པ་ ཚོས་གཞི་གཉིས་ཆ་རང་,i དང་ ii,i དང་ iii,ii དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",c
hsc-chemistry-12-192,འོག་ལུ་ཡོད་མི་ལས་ ག་འདི་བདེན་པ་ཨིན་ན་ཟེར་བ་ཅིན་,ནི,ནི^{+},Mg^{2+} འདི་ཡང་,ཨཱལ་^{3+} འདི་ཡང་,d
hsc-chemistry-12-193,4p གི་མཐའ་འཁོར་ལུ་ཡོད་པའི་ གྲོགས་རམ་ཀཱོན་ཏམ་ཨང་གི་ གནས་གོང་འདི་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན?,ཕྱོགས་གཅིག་ཁ་ལུ་སྡོད་ནི་,ལམ་ཕྱོགས་གཉིས་ལྡན་,གཟུགས་ཁམས་འཕྲོད་བསྟེན་,དབང་ཤུགས་ཅན་གྱི་མི་ལུ་ ཡིད་ཆེས་བསྐྱེདཔ་ཨིན།,b
hsc-chemistry-12-194,ག་འདི་གིས་ཧའི་ཌོ་ཇེན་ལྕགས་རིགས་མང་ཤོས་ཅིག་བཟོ་ནི་ཨིན་ན?,10,11,12,13,b
hsc-chemistry-12-195,ཨམ་མའོ་ལི་ཀཱོན་ནང་ལུ་ སི་ག་མཱལ་གློག་མེ་ག་དེ་ཅིག་ཡོདཔ་ཨིན་ན?,7.52\times 10^{-6}molL^{-1} འདི་ཡང་ ཀྲོང་གསར་ལུ་ཡོད་པའི་ ཀྲོང་གསར་ལུ་ཡོད་པའི་ ཀྲོང་གསར་ལུ་ཨིན།,ཀྲོང་གསར་ལུ་འབད་བ་ཅིན་ བརྒྱ་ཆ་༧.༥༢\times ༡༠^{-6}gL^{-1},7.52\times 10^{-5}molL^{-1} འདི་ཡང་ སྦྲེལ་རྟགས་འདི་ཨིན།,ཀེར་ཐིག་ ༡ ལས་ ༡ གི་གནས་གོང་འདི་ ༧.༥༢ \times ༡༠^{-5}gL^{-1}ཨིན།,c
hsc-chemistry-12-196,ག་གི་བཟོ་རྣམ་འདི་ ཐིག་ཁྲམ་དྭངས་འཕྲོས་སྦེ་ཡོདཔ་ཨིན་ན?,༣་༢་༢་༢་+\frac{1}{2},"༤,༠,༠ +\frac{1}{2} འདི་ཚུ་",༣་༢་༣་+\frac{1}{2} དེ་ཚུ་ཨིན་པས,"༥,༣,༠, -\frac{1}{2} འདི་ཚུ་ཨང་གྲངས་ཚུ་ཨིན།",c
hsc-chemistry-12-197,ཁང་མིག་གི་དྲོད་ཚད་ HCI དང་ NaOH གི་བར་ནའི་དྲོད་ཚད་དེ་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན? (KJmol^{-1}) འདི་ ཀྲོང་གསར་ལུ་ཡོད་པའི་,UV,X-ray,IR,MW,c
hsc-chemistry-12-198,འདི་ནང་ལུ་ pHའདི་ 3.6ཨིན་པ་ཅིན་ H^{+}གི་འཕར་ཚད་འདི་ག་དེམ་ཅིག་འོང་ནི་སྨོ་,བཞེས་སྒོ་འབད་ཐངས་,མཆིན་ནད་བཀག་ཐབས་འབད་,pH ཚད་འཛིན་འབད་,མཆིན་པའི་སྲོག་ཆགས་ཚུ་ཡར་འཕར་འགྱོ་ནི་ལུ་ ཕན་ཐོགས་ཡོད།,d
hsc-chemistry-12-199,ག་འདི་དུག་བཀག་སྨན་ཨིན་ན?,༣R_{H}/4 གིས་འབད་ཡོདཔ་ཨིན།,༥R_{H}/36 འདི་ཡང་,༨R_{H}/༩ གིས་,༩R_{H}/144 འདི་ལུ་བལྟ་བ་ཅིན་,b
hsc-chemistry-12-200,AB(g) \rightleftharpoons A(g) + B(g); འདི་ནང་ལུ་ K_{p} གི་ཡན་ལག་ག་འདི་ཡོདཔ་ཨིན་ན?,5,4,3,2,c
hsc-chemistry-12-201,ཀུར་ནི་ནང་ལུ་ ག་ཅི་ལག་ལེན་འཐབ་ནི་ཡོདཔ་ཨིན་ན?,i དང་ ii,ii དང་ iii,i དང་ iii,"i, ii དང་ iii ཚུ་ཨིན།",d
hsc-chemistry-12-202,4p གི་མཐའ་འཁོར་ལུ་ཡོད་པའི་ གྲོགས་རམ་ཀཱོན་ཏམ་ཨང་གི་ གནས་གོང་འདི་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན?,0,1,2,3,b
hsc-chemistry-12-203,ག་འདི་གིས་ཧའི་ཌོ་ཇེན་ལྕགས་རིགས་མང་ཤོས་ཅིག་བཟོ་ནི་ཨིན་ན?,NH_{3} འདི་ཡང་,HF,HCl,H_{2}O འདི་ལུ་,d
hsc-chemistry-12-204,ཨམ་མའོ་ལི་ཀཱོན་ནང་ལུ་ སི་ག་མཱལ་གློག་མེ་ག་དེ་ཅིག་ཡོདཔ་ཨིན་ན?,2,4,6,8,c
hsc-chemistry-12-205,ག་གི་བཟོ་རྣམ་འདི་ ཐིག་ཁྲམ་དྭངས་འཕྲོས་སྦེ་ཡོདཔ་ཨིན་ན?,Co_{2} འདི་ཡང་,H_{2}O འདི་ལུ་,H_{2}S གིས་,SO_{2} འདི་ལུ་བལྟ་བ་ཅིན་,a
hsc-chemistry-12-206,ཁང་མིག་གི་དྲོད་ཚད་ HCI དང་ NaOH གི་བར་ནའི་དྲོད་ཚད་དེ་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན? (KJmol^{-1}) འདི་ ཀྲོང་གསར་ལུ་ཡོད་པའི་,-50.4,-55.2,-57.34,-68.6,c
hsc-chemistry-12-207,འདི་ནང་ལུ་ pHའདི་ 3.6ཨིན་པ་ཅིན་ H^{+}གི་འཕར་ཚད་འདི་ག་དེམ་ཅིག་འོང་ནི་སྨོ་,3.5\times 10^{-4} M འདི་ ཀླད་ཀོར་གྱི་གནས་གོང་ཨིན།,2.5\times 10^{-4} M འདི་ ཀླད་ཀོར་གྱི་གནས་གོང་ཨིན།,1.5\times 10^{-4} M འདི་ ཀླད་ཀོར་གྱི་གནས་གོང་ཨིན།,0.5\times 10^{-4} འདི་ལུ་ཡར་འཕར་འབདཝ་ཨིན།,b
hsc-chemistry-12-208,ག་འདི་དུག་བཀག་སྨན་ཨིན་ན?,པར་མཱལ་དི་ཧའི་ཌི་,བེན་ཇོ་ཡེཊ་,སཱལ་ཕ་ཊི་,བོརམེཊ་,a
hsc-chemistry-12-209,AB(g) \rightleftharpoons A(g) + B(g); འདི་ནང་ལུ་ K_{p} གི་ཡན་ལག་ག་འདི་ཡོདཔ་ཨིན་ན?,atm,atm^{-1} འདི་ཡང་,atm^{2}ལུ་ བཀྲམ་སྟོན་འབདཝ་ཨིན།,atm^{-2}ལུ་ བསྒྱུར་འབདཝ་ཨིན།,a
hsc-chemistry-12-210,ཀུར་ནི་ནང་ལུ་ ག་ཅི་ལག་ལེན་འཐབ་ནི་ཡོདཔ་ཨིན་ན?,NaI,NaBr,NaC1,NaF,c
hsc-chemistry-12-211,Planck གི་གནས་གོང་འདི་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན?,6.23\times 10^{23}Js འདི་ལུ་བལྟ་བ་ཅིན་,6.23\times 10^{-23}Js འདི་ལུ་བལྟ་བ་ཅིན་,6.624\times 10^{34}Js འདི་ཨིན་ཅི་མིན་ཅི་,6.624\times 10^{-34}Js འདི་ཨིན་ཅི་མིན་ཅི་,d
hsc-chemistry-12-212,"འ་ནཱི་ H-atom གི་མཐའ་འཁོར་བཞི་པ་འདི་ 7.5\times 10^{-10}m གི་དཀྱིལ་ལུ་ཡོད་པ་ཅིན་ འདི་ནང་ལུ་ electron གི་ཤུགས་ཚད་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན?
[གློག་ཟམ་གི་ཤུགས་ = 9.1\times 10^{-31}Kg]",4.5982\times 10^{5}ms^{-1} འདི་ཡང་ སྦྲེལ་མཐུད་འབད་བཏུབ་ཨིན།,5.9482\times 10^{5}ms^{-1} འདི་ཡང་ སྦྲེལ་མཐུད་འབད་བཏུབ་ཨིན།,6.1805\times 10^{5}ms^{-1} འདི་ཡང་ སྦྲེལ་མཐུད་འབད་བཏུབ་ཨིན།,7.4805\times 10^{5}ms^{-1} འདི་ཡང་ སྦྲེལ་རྟགས་ཨིན་,c
hsc-chemistry-12-213,འོག་གི་རྒྱུ་རྫས་ག་འདི་ནང་ལུ་ pH མཐོ་ཤོས་ཡོདཔ་ཨིན་ན?,NH_{3} འདི་ཡང་,PH_{3} དེ་ནང་ལུ་,HF,H_{2}S གིས་,a
hsc-chemistry-12-214,ཨེཀསི་ཊོརནཊི་ (electron) འདི་ ཇི་ཨར་བི་ཊཱལ་ ༣་གི་ཤུལ་ལས་ ག་དེ་ནང་འགྱོ་ནི་ཨིན་ན?,༤་པི་,༤d,༤ ཚུན་,༥ ཚུན་,a
hsc-chemistry-12-215,འ་ནི་ནང་ལས་ ག་འདི་ 1M NaOH ནང་ལུ་ བཱཕ་ར་བཟོ་ནི་ཨིན་ན?,0.1 M CH_{3}COOH,0.2 M CH_{3}COOH,M CH_{3}COOH དེ་ ༡.༠ ཨིན་པས།,CH_{3}COOH ཌི་ཨེམ་སི་ཊི་བི་གི་གནས་ཚད་དེ་ ༢.༠ ལུ་ལྷོད་ནུག,c
hsc-chemistry-12-216,ལྡོག་ཕྱོགས་ཚོགས་པ་ལུ་ དྲུང་ཆེན་ག་དེ་ཅིག་ཡོདཔ་ཨིན་ན?,f,d,p,s,c
hsc-chemistry-12-217,[Ar]3d^{10}4s^{1}འདི་ ཨེལ་ཊོརནསི་གི་རིམ་པ་ག་ཅི་བཟུམ་ཅིག་ཨིན་ན?,ཀུ་,ཀྲོར,Zn,ན,a
hsc-chemistry-12-218,ཆུ་གི་རྡུལ་ཕྲན་ནང་ལུ་ angle HOH འདི་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན?,༡༢༠^{\circ},༡༠༩^{\circ} འདི་ཡང་,༡༠༧^{\circ},༡༠༤.༥^{\circ}ལུ་ཡར་འཕར་འབད་ཡོདཔ་ཨིན།,d
hsc-chemistry-12-219,ཨ་སི་ཊི་ལི་ནའི་ རྡུལ་ཕྲན་འདི་ནང་ལུ་ མཐུད་སྦྲེལ་ག་ཅི་ཡོདཔ་ཨིན་ན?,"3\sigma , 2\pi དེ་ཚུ་","1\sigma , 2\pi འདི་ཡང་ ཌེཀསི་ཊོཔ་གི་མིང་ཨིན།","2\sigma , 1\pi གི་དོན་ལས་","1\sigma , 1\pi དེ་ཚུ་",a
hsc-chemistry-12-220,A+O_{2}\xrightarrow[]{acetobacter}CH_{3}COOH གིས་ 'A' གྲུབ་འབྲས་འདི་,མེ་ཊ་ནོལ་,ཨེ་ཊ་ནོལ་,མེ་ཊ་ན་ཡལ་,ཨེ་ཊ་ན་ཨེལ་,b
hsc-chemistry-12-221,ག་འདི་ཤུགས་ཅན་ཅིག་ཨིན་ན?,ན་ཨོ་ཨའེ་,ཀོ་ཧཱ,CsOH,RbOH,c
hsc-chemistry-12-222,Na_{2}CO_{3}་གི་ 3.5% གྲུབ་འབྲས་ནང་ལུ་ pHདེ་ག་དེམ་ཅིག་ཡོདཔ་ཨིན་ན?,13.8,12.7,11.5,10.5,a
hsc-chemistry-12-223,A_{2}+B_{2}\rightleftharpoons AB;; K_{p}གི་གནས་གོང་འདི་ ༥.༦ ཨིན་པ་ཅིན་ K_{c}གི་གནས་གོང་འདི་ ༢༥^{\circ}C གི་གནས་གོང་དང་ ཤུགས་ཚད་ ༡.༥ atm གི་གནས་གོང་ལུ་ཨིནམ་ད་,7.5,5.6,3.6,2.8,b
hsc-chemistry-12-224,SO_{3} འདི་ག་ཅི་བཟུམ་ཅིག་གི་ ཨེཀསི་ཌིསི་ཨིན་ན?,དྭངས་འཕྲོས་འཕྲོས་ཀྱི་ ཨོ་ཁེ་སིཊ་,ལྕངམ་གི་ཁུ་བ་ལུ་ཡོད་པའི་ཁུ་བ་འདི་ ཚ་དྲོད་ཅན་ཅིག་ཨིན་མས།,Amphibole Oxide འདི་ཡང་ ནད་རྟགས་ངོ་མ་ཅིག་ཨིན་མས།,ནེ་ཊར་ལིག་ཨོསི་ཌིསི་,a
hsc-chemistry-12-225,འོག་གི་རྒྱུ་རྫས་ཚུ་ནང་ལས་ ག་དེ་ཅིག་ལུ་ ཨལ་ཀ་ལེར་གི་པེ་ཊ་སི་ཡཱམ་ཊེཊ་ཨོ་ཌོ་ མེར་ཀུ་རི་ཐཱསི་གིས་ ངོས་འཛིན་འབདཝ་ཨིན་ན?,ཨཱལ་^{3+} འདི་ཡང་,ཀུ་^{2+},NH_{4}^{+} འདི་ཡང་,ཀུ་_{3}^{2-},c
hsc-chemistry-12-227,i. ཐོན་སྐྱེད་འདི་ མེ་རླུང་ཅིག་ཨིན་པ་ཅིན་,2,3,4,5,d
hsc-chemistry-12-228,༢། བཟོ་སྐྲུན་གྱི་ལཱ་ཚུ་ ལེགས་ཤོམ་འགྱོ་མ་ཚུགས་པ་ཅིན་,N_{2}O_{4}\rightleftharpoons 2NO_{2} དེ་ནང་ལུ་ ཚིག་ཡིག་གི་མཐའ་མ་འདི་,2NH_{3}\rightleftharpoons N_{2}+3H_{2} འདི་ཡང་ སྦ་སྒོར་ནང་ཡོད་མི་ སྦ་སྒོར་ནང་ཡོད་མི་ སྦ་སྒོར་ནང་ཡོད་མི་ སྦ་སྒོར་ནང་ཡོད་མི་,2NO + O_{2}\rightleftharpoons 2NO_{2} འདི་ཡང་ ཕྲང་ཨིན་,N_{2}+3H_{2}\rightleftharpoons 2NH_{3}ལུ་ བསྒྱུར་བཅོས་འབད་ཡོདཔ་ཨིན་,c
hsc-chemistry-12-229,གསུམ་པ་ གྲུབ་འབྲས་འདི་ བརྟག་དཔྱད་འབད་མ་ཚར་བར་རང་ འཐོན་འགྱོ་མི་ཅ་ཆས་ཚུ་ བརྟག་དཔྱད་འབད་ཚར་ཞིནམ་ལས་ བཏོན་བཏངམ་ཨིན།,བི་ཊ་ཀེ་རོ་ཊིན་ཟེར་མི་འདི་ཨིན།,ཁུ་བ་ཚ་ཏོམ་,BHT,BHA,a
hsc-chemistry-12-230,འོག་ལུ་ཡོད་མི་ལས་ ག་འདི་བདེན་པ་ཨིན་ན་ཟེར་བ་ཅིན་,K_{p} > K_{c} འདི་ ཀྲོང་གསར་ལུ་ཡོད་པའི་,ཀ_{p} = ཀ_{c},K_{p} < K_{c} འདི་ ཀྲོང་གསར་ལུ་ཆགས་ཏེ་ཡོདཔ་ཨིན།,K_{p} \neq K_{c} དེ་ནང་ལུ་ བཀྲམ་སྟོན་འབདཝ་ཨིན།,b
hsc-chemistry-12-231,ལི་ཊར་རེ་ལུ་ ཆུ་ནང་ཤེལ་ཀྲར་༠.༠༠༠.༡༥ གི་ནང་ཤེལ་ཀྲར་ ༡.༠༠༠.༡༥ གི་ནང་ཤེལ་ཀྲར་ ༡.༠༠༠.༡༥ གི་ནང་ཤེལ་ཀྲར་ ༡.༠༠༠.༡༥ གི་ནང་ཤེལ་ཀྲར་ ༡.༠༠༠.༡༥ གི་ནང་ཤེལ་ཀྲར་ ༡.༠༠༠.༡༥ གི་ནང་ཤེལ་ཀྲར་ ༡.༠༠༠.༡༥ གི་ནང་ཤེལ་ཀྲར་ ༡.༠༠༠.༡༥ གི་ནང་ཤེལ་ཀྲར་ ༡.༠༠༠.༡༥ གི་ནང་ཤེལ་ཀྲར་ ༡.༠༠༠.༡༥ གི་ནང་ཤེལ་ཀྲར་ ༡.༠༠༠.༡༥ གི་ནང་ཤེལ་ཀྲར་ ༡.༠༠༠.༡༥ གི་ནང་ཤེལ་ཀྲར་ ༡.༠༠༠.༡༥ གི་ནང་ཤེལ་ཀྲར་ ༡.༠༠༠.༡༥ གི་ནང་ཤེལ་ཀྲར་ ༡.༠༠༠.༡༥ གི་ནང་ཤེལ་ཀྲར་ ༡.༠༠༠.༡༥ གི་ནང་ཤེལ་ཀྲར་ ༡.༡༥ གི་ནང་ཤེལ་ཀྲར་ ༡.༡༥ གི་ནང་ཤེལ་ཀྲར་ ༡.༡༥ དང་ ༡.༧ ཚུ་ནང་ཤེལ་ཀྲར་ ༡.༧,༡༠༩^{\circ} འདི་ཡང་,༡༠༧^{\circ},༩༢^{\circ} འདི་ཡང་,༧༢^{\circ},c
hsc-chemistry-12-232,ཉི་མའི་དཔེ་ཚད་འདི་ག་ཏེ་ལུ་ཡོདཔ་ཨིན་ན?,ནུས་ཤུགས་འདི་ ནུས་ལྡན་གློག་ཤུགས་ཡོད་པའི་ ཀེར་ཐིག་ནང་ལུ་ཡོདཔ་ཨིན།,ཨཱལ་ཕ་རྡུལ་ཕྲན་ལུ་ཤུགས་ཚད་འདི་ མཐོ་ཤོས་ཅིག་ཨིན་ཟེར་སླབ་ཨིན།,ཨཱལ་ཕ་རྡུལ་འདི་ ཤུགས་ཉུང་དྲགས་སྦེ་རང་ འགྱུར་བ་འགྱོ་དོ་ཡོདཔ་ཨིན།,རྡུལ་ཕྲན་ནང་ལུ་ ས་སྒོ་མང་ཤོས་ཅིག་རང་ ཕྱགས་སྙིགས་ཨིན།,d
hsc-chemistry-12-233,XeF_{2}གི་ལྟེ་བ་འདི་ནང་ལུ་ electron གཉིས་ཆ་མེད་སྦེ་ཡོདཔ་ཨིན།,0,1,2,3,d
