Question No.,Question,a,b,c,d,Correct Answer
hsc-advanced_chemistry-12-185,གཏིང་ཕབ་ AlCl₃ ནང་གང་ཙམ་ཕེ་ར་ཌི་གློག་དྲོད་འཁོར་ན་ཀེ་ཐོ་ཌེ་ལ་ 54 གྲམ་ Al གཞི་བཙུགས་བྱེད་དམ།,1,3,6,9,c
hsc-advanced_chemistry-12-186,"འགྲུབ་པའི་ཡན་ལག་-
i. mho
ii. ohm⁻¹
iii. Siemens
གཤམ་གྱི་གང་དོན་དུ་འཛིན་པར་བྱེད་དམ།",i དང་ ii,i དང་ iii,ii དང་ iii,"i, ii དང་ iii",d
hsc-advanced_chemistry-12-187,རླུང་གི་དྲོད་ཚད་དང་ཤུགས་དབྱིབས་གཉིས་གུ་བྱས་ན་ཚུགས་ཀྱི་གནས་སྟངས་གང་འགྱུར་དམ།,གཉིས་གུ་འགྱུར།,གནས་སྟངས་མི་འགྱུར།,བཞི་གུ་འགྱུར།,ཕྱེད་ཀ་འགྱུར།,b
hsc-advanced_chemistry-12-188,གང་ཞིག་གི་ཡོ་ཆས་ནང་ནའི་ཏྲོ་ཇེན་ཆེས་མཐོ་བའི་སྐྱེད་གྲངས་ཡིན་ནམ།,NH₂OH,N₂H₄,NH₃,N₃H,d
hsc-advanced_chemistry-12-189,"Ag⁺/Ag དང་ Au³⁺/Au ཆུ་ཚད་གཉིས་ཀྱི་ཚད་ལྡན་བཅུག་རྫས་ཤུགས་དབྱིབས་ +0.80V དང་ +1.56V ཡིན།
ཆུ་ཚད་གཉིས་ཀྱིས་བཟོས་པའི་ཀོ་ཤུ་ཡི་ཤུགས་དབྱིབས་གང་ཡིན་ནམ།",#ERROR!,-0.76V,#ERROR!,-2.36V,a
hsc-advanced_chemistry-12-190,རྩ་རིག་པའི་དང་མིན་པའི་དྲོ་བ་སྤྱི་ཚད་ཨེ་སིཌ་འགྱུར་བར་ O₂ ཡི་ཚད་ངོས་འཛིན་བྱེད་པ།,pH,DO,COD,BOD,c
hsc-advanced_chemistry-12-191,"3H₂S + 2HNO₃ → 2NO + 3S + 4H₂O
འགྱུར་བ་དེ་ནང་ H₂S ཡི་ལས་ཀ་གང་ཡིན་ནམ།",ཊི་ཊྲེན་ཊི།,ཊི་ཊྲེ་ཊི།,སྐྱེད་རྫས།,བཅུག་རྫས།,d
hsc-advanced_chemistry-12-191,3H_{2}S + 2HNO_{3} → 2NO + 3S + 4H_{2}O འགྱུར་རྫས་ནང་ H_{2}S གི་ལས་རྩེད་ག་རེ་ཡིན།,ཊའིཊྲནཊ྄།,ཊའིཊྲེཊ྄།,ཛརཀ྄།,བིཛརཀ྄།,d
hsc-advanced_chemistry-12-192,"180°C དྲོད་ཚད་དང་ 0.8 atm ཁྲོད་གནས་པའི་གེས་རྫས་ཀྱི་སྟུག་པ། 2.25 g/L, དེའི་རྩ་རྫས་ཀྱི་ལྗིད་ཚད་ག་རེ་ཡིན།",67.11 g/mol,36.24 g/mol,24.36 g/mol,23.63 g/mol,a
hsc-advanced_chemistry-12-193,གློག་དང་འབྲེལ་བའི་འགྱུར་རྫས་ནང་ ག་གི་རྫས་སྣ་མང་ཤུགས་ཅན་ཡིན།,པེནཏིན།,པེནཏནིཡལ།,བིཡུཏནོལ།,བིཡུཏིན།,d
hsc-advanced_chemistry-12-194,སེམི་ཀོནྡཀྟར་རྫས་སུ་སྤྱོད་པ།,Ge,Zn,Cu,Al,a
hsc-advanced_chemistry-12-195,"Fe^{2+} + MnO_{4}^{-} + H^{+} → Fe^{3+} + Mn^{2+} + H_{2}O; འདིའི་འགྱུར་རྫས་ནང་:
i. Fe^{2+} ཇརཀ྄་ཡིན།
ii. MnO_{4}^{-} ཀྱི་ Mn^{7+} བིཛརཀ྄་ཡིན།
iii. གློག་རྡུལ་5 ལེན་པ།",i དང་ ii,i དང་ iii,ii དང་ iii,"i, ii དང་ iii",c
hsc-advanced_chemistry-12-196,ཀརྦནིན་གྱི་བརྟན་ཚད་ཀྱི་རིམ་པ།,3° > 2° > 1°,1° > 2° > 3°,1° > 3° > 2°,2° > 1° > 3°,b
hsc-advanced_chemistry-12-197,ག་པ་ཞིག་མཁྲིས་པའི་ཨེསིཌ་ཡིན།,HNO_{3},HNO_{2},H_{2}SO_{4},H_{2}SO_{3},c
hsc-advanced_chemistry-12-198,ཨོཀྵིཇེན་གྱི་རྩ་རྫས་ཀྱི་ལྗིད་ཚད་ག་རེ་ཡིན།,2.66 × 10^{-23}g,3.76 × 10^{-23}g,1.33 × 10^{-22}g,1.88 × 10^{-22}g,a
hsc-advanced_chemistry-12-199,འོད་སྟོང་གི་ཨོཀྵིཌེཤན་ཕྱོགས་ཀྱི་ཁྲོད་ག་པ་ཞིག་སྟོན།,Zn^{2+}/Zn,Zn/Zn^{2+},Cu^{2+}/Cu,"H^{+}/H_{2}, Pt",b
hsc-advanced_chemistry-12-200,ག་པའི་རྫས་སྣ་ནང་ ‘ནའིཊྲལ’ གི་ལས་རྩེད་མཆིས།,CH_{3}NH_{2},CCl_{3}NO_{2},CH_{3}CN,NH_{4}CNO,c
hsc-advanced_chemistry-12-201,ཁྲོལ་བྱས་ཀྱི་མོལ་རྒྱུད་ཀྱི་ཚད་གཞི་ག་རེ་ཡིན།,g/L,mol/L,mol/kg,N/V,b
hsc-advanced_chemistry-12-202,ཀརྦིལ་ཨམིན་ཚོད་ལྟ་ཐོག་ག་པ་ཞིག་ངོས་འཛིན་བྱེད།,ཀློརོཕོརམ།,སེཀེནཌ་རི་ཨམིན།,ཊར་སི་ཡ་རི་ཨམིན།,ནའིཊྲོབེནཛིན།,a
hsc-advanced_chemistry-12-203,"(i) NH_{3} + HCO_{3}^{-} ⇌ NH_{4}^{+} + CO_{3}^{2-}
(ii) HCO_{3}^{-} + H_{2}O ⇌ H_{2}CO_{3} + OH^{-}
ག་པ་ཞིག་ཟུང་འགྱུར་རྫས་སུ་བརྩི།",NH_{3},H_{2}O,CO_{3}^{2-},HCO_{3}^{-},d
hsc-advanced_chemistry-12-204,"(i) དང་ (ii) འགྱུར་རྫས་ཀྱི་ཁྱད་པར།
i. ཆུ་ཁྲོལ།
ii. pH
iii. H^{+}",i,ii,iii,"i, ii དང་ iii",c
hsc-advanced_chemistry-12-205,ག་པའི་གེས་རྫས་ཀྱི་དབྱིངས་འཕེལ་མགྱོགས་ཚད་མཐོ་ཤོས་ཡིན།,NH_{3},CH_{4},SO_{2},CO_{2},b
hsc-advanced_chemistry-12-206,ཨེནཐྲསིན་རྩ་རྫས་ནང་ π (པའི) གློག་རྡུལ་གྱི་གྲངས་ཀ་ག་རེ་ཡིན།,6,10,14,16,c
hsc-advanced_chemistry-12-207,"མོལར་ཁྲོལ་གྱི་ཆ་རྐྱེན།
i. ཚད་ལྡན་ཁྲོལ་ཡིན།
ii. 1M སྟུག་པ།
iii. 1L ཁྲོལ་ནང་ 0.1 མོལ་རྫས་ཡོད།",i དང་ ii,i དང་ iii,ii དང་ iii,"i, ii དང་ iii",a
hsc-advanced_chemistry-12-208,AgNO_{3} ཁྲོལ་ནང་ 1.2 amp གློག་ཐེབས་ན་ 1.61 g Ag ག་ཚོད་དུས་ཡོད།,40 min,30 min,25 min,20 min,d
hsc-advanced_chemistry-12-209,གཏན་ཁྲོད་གེས་རྫས་ཀྱི་མགྱོགས་ཚད་དང་སྟུག་པའི་འབྲེལ་བ།,མཚུངས་ཚད།,ལོག་ཚད།,མཚུངས་ཚད་གྲུབ་ཚད།,ལོག་ཚད་རྩ་འབྱེད།,d
